GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",3751748,4074568,4166524,4384272,4783431,4861061,5034960,5112919,4892472,5020755,4660730,4546026,4346078,4337437,4634220,4642482
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",469312,511451,527507,540067,550267,565835,576239,634821,614050,632435,608212,611705,615407,631981,638930,657721
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",42810,40856,41592,42579,43047,40399,37451,39771,47392,60047,58804,54331,53541,59184,56187,57813
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",14947,23999,27453,21509,22687,26305,26738,30139,30827,26585,29470,36474,41584,43870,43234,42409
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",861,685,812,921,853,942,1190,1116,1616,1801,1206,1219,1658,1711,1436,1611
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",12980,14465,21097,19390,27191,26614,17511,21299,21780,19426,18953,19686,25860,20176,19979,24435
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",12596,13456,15242,16005,16929,20287,23766,20937,23366,18677,18430,19904,21353,30263,28911,33208
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",106239,121217,120677,131122,127981,132950,134744,159580,151562,171391,165638,176394,178827,174936,175639,182244
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",96660,100298,105379,109847,117284,124335,135003,147598,137620,115735,107626,98061,95914,93968,104653,106145
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",9178,8916,9718,6614,5872,7357,7590,8131,8282,11245,10244,9347,9582,12285,11513,12535
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",25041,25450,25759,28051,28173,32566,38589,34206,24700,33237,28436,24125,23386,25018,27112,32409
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",2173,2341,2502,2854,3182,3084,3662,6552,5943,10890,11281,9488,6363,6579,6895,6892
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",19250,20319,20542,22783,22838,22346,21226,25518,22538,27952,24129,20589,22322,26308,28840,30507
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",10027,11589,13253,13308,13324,13784,16224,19930,21232,21879,22762,25708,23283,24239,24734,23750
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",88604,95318,90948,86758,81353,72226,70624,76959,74919,70172,67628,75944,70051,69832,63782,58324
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",1647,2843,1825,2266,2075,4303,5969,2730,2041,2377,1827,1132,1177,1650,1349,1067
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",11826,11838,13090,16381,17777,17836,15319,19724,18075,19407,20190,16842,17781,19019,19884,20412
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",14471,17862,17620,19680,19701,20503,20633,20630,22157,21613,21588,22460,22725,22944,24782,23962
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",3046563,3317070,3389293,3583973,3959420,4009250,4155220,4170906,3975428,4104435,3767771,3617025,3424765,3388525,3664861,3652278
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",73873,95743,98722,105436,89606,111176,119799,83082,74173,58926,40840,46876,48046,49288,45360,50255
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",1341,1503,1721,1713,1915,1499,1689,1330,1607,1593,1595,1652,1835,2055,2289,2589
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",3584,3017,3063,3234,3742,5122,4811,5316,5367,5298,5601,5766,5880,6142,6108,6705
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",1248582,1297455,1248584,1191298,1133773,1061906,1005675,1081040,1077777,1079672,1097021,1063398,1076508,1074464,1087447,1098087
 "01000","Alabama",5,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",2996,2066,2622,559,522,864,1016,904,796,852,1191,1249,1124,4372,1279,1669
